"filename", "language", "CSS", "XML", "JavaScript", "JSON", "Markdown", "HTML", "SQL", "Python", "comment", "blank", "total"
"/Users/williamrhoda/Documents/Code/Projects/skenestunts_production/src/images/imdb_icon.svg", "XML", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 9
"/Users/williamrhoda/Documents/Code/Projects/skenestunts_production/src/images/logo_footer.svg", "XML", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 9
"/Users/williamrhoda/Documents/Code/Projects/skenestunts_production/src/index.css", "CSS", 12, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
"/Users/williamrhoda/Documents/Code/Projects/skenestunts_production/src/index.js", "JavaScript", 0, 0, 6, 0, 0, 0, 0, 0, 0, 12, 18
"/Users/williamrhoda/Documents/Code/Projects/skenestunts_production/src/logo.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/williamrhoda/Documents/Code/Projects/skenestunts_production/src/pages/Admin.css", "CSS", 4, 0, 0, 0, 0, 0, 0, 0, 53, 12, 69
"/Users/williamrhoda/Documents/Code/Projects/skenestunts_production/src/pages/Admin.js", "JavaScript", 0, 0, 234, 0, 0, 0, 0, 0, 32, 98, 364
"/Users/williamrhoda/Documents/Code/Projects/skenestunts_production/src/pages/Contact.css", "CSS", 114, 0, 0, 0, 0, 0, 0, 0, 8, 48, 170
"/Users/williamrhoda/Documents/Code/Projects/skenestunts_production/src/pages/Contact.js", "JavaScript", 0, 0, 41, 0, 0, 0, 0, 0, 2, 36, 79
"/Users/williamrhoda/Documents/Code/Projects/skenestunts_production/src/pages/Gallery.css", "CSS", 76, 0, 0, 0, 0, 0, 0, 0, 0, 15, 91
"/Users/williamrhoda/Documents/Code/Projects/skenestunts_production/src/pages/Gallery.js", "JavaScript", 0, 0, 55, 0, 0, 0, 0, 0, 3, 32, 90
"/Users/williamrhoda/Documents/Code/Projects/skenestunts_production/src/pages/Info.css", "CSS", 635, 0, 0, 0, 0, 0, 0, 0, 34, 200, 869
"/Users/williamrhoda/Documents/Code/Projects/skenestunts_production/src/pages/Info.js", "JavaScript", 0, 0, 306, 0, 0, 0, 0, 0, 22, 220, 548
"/Users/williamrhoda/Documents/Code/Projects/skenestunts_production/src/pages/Media.css", "CSS", 59, 0, 0, 0, 0, 0, 0, 0, 6, 9, 74
"/Users/williamrhoda/Documents/Code/Projects/skenestunts_production/src/pages/Media.js", "JavaScript", 0, 0, 57, 0, 0, 0, 0, 0, 2, 35, 94
"/Users/williamrhoda/Documents/Code/Projects/skenestunts_production/src/pages/Reels.css", "CSS", 52, 0, 0, 0, 0, 0, 0, 0, 5, 19, 76
"/Users/williamrhoda/Documents/Code/Projects/skenestunts_production/src/pages/Reels.js", "JavaScript", 0, 0, 42, 0, 0, 0, 0, 0, 2, 46, 90
"/Users/williamrhoda/Documents/Code/Projects/skenestunts_production/src/pages/Team.css", "CSS", 273, 0, 0, 0, 0, 0, 0, 0, 55, 123, 451
"/Users/williamrhoda/Documents/Code/Projects/skenestunts_production/src/pages/Team.js", "JavaScript", 0, 0, 148, 0, 0, 0, 0, 0, 4, 89, 241
"/Users/williamrhoda/Documents/Code/Projects/skenestunts_production/src/pages/UpdatePerformer.css", "CSS", 6, 0, 0, 0, 0, 0, 0, 0, 0, 8, 14
"/Users/williamrhoda/Documents/Code/Projects/skenestunts_production/src/pages/UpdatePerformer.js", "JavaScript", 0, 0, 62, 0, 0, 0, 0, 0, 4, 38, 104
"/Users/williamrhoda/Documents/Code/Projects/skenestunts_production/src/reportWebVitals.js", "JavaScript", 0, 0, 12, 0, 0, 0, 0, 0, 0, 2, 14
"/Users/williamrhoda/Documents/Code/Projects/skenestunts_production/src/setupTests.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 4, 1, 6
"Total", "-", 2507, 257, 7306, 17674, 38, 26, 0, 70, 33169, 5310, 66357
